,course,rating,students,level,university,skills
151,Creating a virtual book store using java GUI,None,None,Intermediate,Coursera Project Network,Java
152,JavaScript Variables and Assignment Operators,4.8,"2,6 mil",Beginner,Coursera Project Network,Java
153,Using Efficient Sorting Algorithms in Java to Arrange Tax Data,4.5,"2,5 mil",Intermediate,Coursera Project Network,Java
154,JavaScript Decision Programming with If-Else,None,None,Intermediate,Coursera Project Network,Java
155,Validate HTML Forms with JavaScript and HTML,4.6,None,Intermediate,Coursera Project Network,Java
156,Generate a PDF File with JavaScript,None,None,Intermediate,Coursera Project Network,Java
157,Java Testing: An Introduction to TDD,None,None,Intermediate,LearnQuest,Java
158,Introduction to JavaScript Arrays,None,None,Intermediate,Coursera Project Network,Java
159,Create your first Java project using jGRASP,4.7,2 mil,Beginner,Coursera Project Network,Java
160,Learn to Teach Java: ArrayLists and 2D Arrays,None,None,Beginner,University of California San Diego,Java
161,Create a Tic-Tac-Toe Game using Java,None,None,Intermediate,Coursera Project Network,Java
162,برمجة Java: إنشاء نظام ترشيح,None,None,Intermediate,Duke University,Java
163,A Simple Picture Storing App with Java and Android Studio,None,None,Intermediate,Coursera Project Network,Java
164,Display Student Data with Linechart and Separator in JavaFX,None,None,Intermediate,Coursera Project Network,Java
165,JavaScript Arithmetic Operators,4.4,None,Intermediate,Coursera Project Network,Java
166,Creating a simple Calculator in Android using Java,None,None,Beginner,Coursera Project Network,Java
167,Manipulate Arrays with JavaScript Methods,None,None,Intermediate,Coursera Project Network,Java
168,Best Practices for Mobile Development With Java,None,None,Beginner,Coursera Project Network,Java
169,Creating a Virtual Bookstore using Java Basics,4.8,None,Beginner,Coursera Project Network,Java
170,JavaScript Decision Programming with Nested If,None,None,Intermediate,Coursera Project Network,Java
171,JavaScript Decision Programming with Switch,None,None,Intermediate,Coursera Project Network,Java
172,Construire une calculatrice graphique avec JavaScript,None,None,Beginner,Coursera Project Network,Java
173,Search a String Variable with JavaScript Methods,None,None,Intermediate,Coursera Project Network,Java
174,JavaScript While Loop,None,None,Intermediate,Coursera Project Network,Java
175,Blazor and JavaScript Interoperability,None,None,Intermediate,Coursera Project Network,Java
176,User-Defined Functions in JavaScript,None,None,Intermediate,Coursera Project Network,Java
177,Create a Basketball Score Counter App in Android using Java,None,None,Beginner,Coursera Project Network,Java
178,Build a Stopwatch using JavaScript,None,None,Beginner,Coursera Project Network,Java
179,Work with Dates in JavaScript,None,None,Intermediate,Coursera Project Network,Java
180,Build a Word Jumble using Java Basics,None,None,Intermediate,Coursera Project Network,Java
181,Sort Arrays with JavaScript Methods,None,None,Intermediate,Coursera Project Network,Java
182,Extract Text Data with Java and Regex,None,None,Intermediate,Coursera Project Network,Java
183,Create your first GUI application in jGRASP using JavaFX,None,None,Intermediate,Coursera Project Network,Java
184,Hospedando Website Estático (HTML/CSS/Javascript) no AWS S3,None,None,Beginner,Coursera Project Network,Java
185,Java Data Access - SQL Primer,None,None,Beginner,LearnQuest,Java
186,"Install, Configure, and use Java Extension Pack in VS Code",None,None,Beginner,Coursera Project Network,Java
187,Text file Input/Output in Java,None,None,Beginner,Coursera Project Network,Java
188,Beginning GUI programming with JavaFX,None,None,Intermediate,Coursera Project Network,Java
189,حماية قاعدة البيانات من هجمات ال Injections باستخدام Java,None,None,Intermediate,Coursera Project Network,Java
190,Display Simple Data with Pie Chart and Tabbed Pane in JavaFX,None,None,Intermediate,Coursera Project Network,Java
191,Java Primitive Types to Calculate Expenses,4.5,None,Intermediate,Coursera Project Network,Java
192,تعلم Java و JavaFX من خلال عمل آلة حاسبة,None,None,Beginner,Coursera Project Network,Java
193,إنشاء لعبة الأسئلة باستخدام Vanilla JavaScript,None,None,Beginner,Coursera Project Network,Java
194,Configuring the Java Extension Pack with Visual Studio Code,None,None,Intermediate,Coursera Project Network,Java
195,Parametrize Queries to Protect Against Injections with Java,None,None,Intermediate,Coursera Project Network,Java
196,Create a JavaFX GUI with radio buttons and check boxes,None,None,Intermediate,Coursera Project Network,Java
197,Create a JavaFX movie rater GUI with combo box and a slider,None,None,Intermediate,Coursera Project Network,Java
198,A simple course rater with JavaFX choice box and text area,None,None,Intermediate,Coursera Project Network,Java
199,Use Menus to Process Simple Personal Data in JavaFX,None,None,Intermediate,Coursera Project Network,Java
200,Create a JavaFX movie rater with titled panes and accordion,None,None,Intermediate,Coursera Project Network,Java
201,Java Data Types and String APIs,None,None,Beginner,Coursera Project Network,Java
202,Create a simple list using ListView in JavaFX,None,None,Intermediate,Coursera Project Network,Java
203,Display Simple Data with Bar Chart and Split Pane in JavaFX,None,None,Intermediate,Coursera Project Network,Java
204,Java Testing,None,None,Intermediate,LearnQuest,Java
205,Java Database Connectivity,None,None,Beginner,LearnQuest,Java
206,Python for Everybody,4.8,"2,7 m",Beginner,University of Michigan,Java
207,Data Science,4.5,"1,2 m",Beginner,Johns Hopkins University,Java
208,Improve Your English Communication Skills,4.7,"1,3 m",Beginner,Georgia Institute of Technology,Java
209,Web Design for Everybody: Basics of Web Development & Coding,4.7,540 mil,Beginner,University of Michigan,Java
210,Full-Stack Web Development with React,4.7,360 mil,Intermediate,The Hong Kong University of Science and Technology,Java
211,Full Stack Web Development with Angular,4.7,350 mil,Intermediate,The Hong Kong University of Science and Technology,Java
212,Web Applications for Everybody,4.7,280 mil,Intermediate,University of Michigan,Java
213,Introduction to Web Development,4.7,190 mil,Beginner,"University of California, Davis",Java
214,Android App Development,4.5,210 mil,Beginner,Vanderbilt University,Java
215,Code Yourself! An Introduction to Programming,4.7,240 mil,Beginner,The University of Edinburgh,Java
216,Responsive Website Development and Design,4.5,250 mil,Beginner,University of London,Java
217,Oracle SQL Databases,4.6,5 mil,Beginner,LearnQuest,Java
218,Introduction to Computer Programming,4.1,53 mil,Beginner,University of London,Java
219,Introduction to HTML5,4.7,460 mil,Mixed,University of Michigan,Java
220,Single Page Web Applications with AngularJS,4.9,100 mil,Intermediate,Johns Hopkins University,Java
221,Front-End Web Development with React,4.7,150 mil,Intermediate,The Hong Kong University of Science and Technology,Java
222,How To Create a Website in a Weekend! (Project-Centered Course),3.3,180 mil,Mixed,The State University of New York,Java
223,Web Design: Wireframes to Prototypes,4.9,42 mil,Intermediate,California Institute of the Arts,Java
224,Introduction to HTML,4.6,26 mil,Beginner,Coursera Project Network,Java
225,Spring - Ecosystem and Core,3.4,"3,8 mil",Intermediate,LearnQuest,Java
226,"Spring MVC, Spring Boot and Rest Controllers",4,"2,4 mil",Intermediate,LearnQuest,Java
227,Programming Mobile Applications for Android Handheld Systems: Part 1,4.6,77 mil,Mixed,"University of Maryland, College Park",Java
228,"Coding for Designers, Managers, & Entrepreneurs III",4.9,"2,4 mil",Beginner,University of Virginia,Java
229,أساسيات مواقع الويب سريعة الاستجابة: البرمجة باستخدام HTML وCSS وJavaScript,4.8,"6,8 mil",Mixed,University of London,Java
230,Snake game in Python: use Pygame to build your game,None,None,Intermediate,Coursera Project Network,Java
231,Bachelor of Science in Computer Science,None,None,None,University of London,Java
232,Principios de ingeniería de software automatizada y ágil Programa de Certificado MasterTrack®,None,None,None,Universidad de los Andes,Java
233,Maestría en Ingeniería de Software,None,None,None,Universidad de los Andes,Java
234,Maestría en Inteligencia Analítica de Datos,None,None,None,Universidad de los Andes,Java
235,Cloud Application Development Foundations,4.7,81 mil,Beginner,IBM,Java
236,Modern Application Development with Node.js on AWS,4.8,83 mil,Beginner,Amazon Web Services,Java
237,UI / UX Design,4.7,210 mil,Beginner,California Institute of the Arts,Java
238,Intellectual Property Law,4.8,24 mil,Intermediate,University of Pennsylvania,Java
239,Programming with Google Go,4.6,50 mil,Intermediate,"University of California, Irvine",Java
240,Django for Everybody,4.7,73 mil,Intermediate,University of Michigan,Java
241,PostgreSQL for Everybody,4.8,15 mil,Intermediate,University of Michigan,Java
242,Customer Experiences with Contact Center AI - Dialogflow ES,4.4,"3,7 mil",Intermediate,Google Cloud,Java
243,Extended Reality for Everybody,4.6,"9,8 mil",Beginner,University of Michigan,Java
244,Using Python to Access Web Data,4.8,550 mil,Mixed,University of Michigan,Java
245,TensorFlow: Data and Deployment,4.6,40 mil,Intermediate,DeepLearning.AI,Java
246,Recommender Systems,4.3,42 mil,Intermediate,University of Minnesota,Java
247,Visual Elements of User Interface Design,4.7,160 mil,Beginner,California Institute of the Arts,Java
248,User Interface Design,4.6,77 mil,Intermediate,University of Minnesota,Java
249,IBM AI Enterprise Workflow,4.3,"9,7 mil",Advanced,IBM,Java
250,Materials Science: 10 Things Every Engineer Should Know,4.7,83 mil,Mixed,"University of California, Davis",Java
251,Advanced Django: Mastering Django and Django Rest Framework,4.8,"1,9 mil",Advanced,Codio,Java
252,UX / UI: Fundamentos para o design de interface,4.5,45 mil,Beginner,Universidade de São Paulo,Java
253,Introduction to Intellectual Property,4.8,17 mil,Beginner,University of Pennsylvania,Java
254,Information Visualization,4.5,19 mil,Beginner,New York University,Java
255,Full Stack Web Development en Español,4.2,37 mil,Beginner,Universidad Austral,Java
256,Python Scripting for DevOps,4.2,"3,4 mil",Beginner,LearnQuest,Java
257,Object-Oriented Design,4.7,78 mil,Intermediate,University of Alberta,Java
258,"Functions, Methods, and Interfaces in Go",4.6,17 mil,Intermediate,"University of California, Irvine",Java
259,"Coding for Designers, Managers, and Entrepreneurs",4.1,"9,4 mil",Beginner,University of Virginia,Java
260,Developing Cloud Native Applications,4.2,"6,8 mil",Intermediate,IBM,Java
261,Desarrollo de aplicaciones móviles con Android,4.6,95 mil,Intermediate,Universidad Nacional Autónoma de México,Java
262,Introdução ao Teste de Software,4.8,22 mil,Beginner,Universidade de São Paulo,Java
263,Building Modern Node.js Applications on AWS,4.5,"8,5 mil",Intermediate,Amazon Web Services,Java
264,Internet Giants: The Law and Economics of Media Platforms,4.8,53 mil,Mixed,The University of Chicago,Java
265,Developing Cloud Apps with Node.js and React,4,"8,4 mil",Intermediate,IBM,Java
266,Introduction to Programming and Animation with Alice,4.4,14 mil,Beginner,Duke University,Java
267,Material Behavior,4.8,35 mil,Mixed,Georgia Institute of Technology,Java
268,Building Test Automation Framework using Selenium and TestNG,4.6,"2,9 mil",Advanced,Coursera Project Network,Java
269,Transferencia tecnológica: De la investigación al mercado.,4.8,11 mil,Beginner,Pontificia Universidad Católica de Chile,Java
270,Browser-based Models with TensorFlow.js,4.7,32 mil,Intermediate,DeepLearning.AI,Java
271,Building a Dynamic Web App using PHP & MySQL,4.4,"5,8 mil",Beginner,Coursera Project Network,Java
272,Introduction to UI Design,4.7,60 mil,Beginner,University of Minnesota,Java
273,Introduction to Recommender Systems: Non-Personalized and Content-Based,4.5,32 mil,Intermediate,University of Minnesota,Java
274,JSON and Natural Language Processing in PostgreSQL,4.7,"2,6 mil",Intermediate,University of Michigan,Java
275,Build Your First React Website,4.4,10 mil,Intermediate,Coursera Project Network,Java
276,User Experience & Interaction Design for AR/VR/MR/XR,4.7,"3,5 mil",Intermediate,University of Michigan,Java
277,Introduction to Front-end Development with ReactJS,4.4,"9,4 mil",Intermediate,Coursera Project Network,Java
278,Diseñando páginas web con Bootstrap 4,4.4,27 mil,Beginner,Universidad Austral,Java
279,Build a Twitter Clone Front-End with ReactJS,4.6,None,Intermediate,Coursera Project Network,Java
280,Data Pipelines with TensorFlow Data Services,4.4,16 mil,Intermediate,DeepLearning.AI,Java
281,"A tanulás tanulása: Hatékony mentális eszközök, melyek segítenek megbirkózni a nehéz tantárgyakkal (Learning How to Learn)",4.9,"6,9 mil",Beginner,Deep Teaching Solutions,Java
282,Protecting Business Innovation,4.8,19 mil,Beginner,The Hong Kong University of Science and Technology,Java
283,Full Stack Cloud Development Capstone Project,4.4,"3,3 mil",Intermediate,IBM,Java
284,Scheduling Selenium TestNG tests via Jenkins CI/CD tool,4.5,"1,7 mil",Beginner,Coursera Project Network,Java
285,Build a Full-Stack Server for API Requests - NodeJS and Pug,4.1,None,Intermediate,Coursera Project Network,Java
286,Getting Started with Linux Terminal,4.6,"2,6 mil",Beginner,Coursera Project Network,Java
287,Identifying Security Vulnerabilities,4.6,"9,1 mil",Intermediate,"University of California, Davis",Java
288,Information Visualization: Programming with D3.js,4.5,"8,8 mil",Beginner,New York University,Java
289,Practical Introduction to the Command Line,4.5,"6,1 mil",Beginner,Coursera Project Network,Java
290,Data Structures and Performance,4.8,86 mil,Intermediate,University of California San Diego,Java
291,AI Workflow: AI in Production,4.5,"2,6 mil",Advanced,IBM,Java
292,Web Design for Everybody Capstone,4.8,41 mil,Mixed,University of Michigan,Java
293,Oracle SQL Basics,4.7,"1,9 mil",Beginner,LearnQuest,Java
294,Configure and Test Basic Network Connectivity,4.5,None,Intermediate,Coursera Project Network,Java
295,AWS: Publish a NodeJS Website from Scratch,4.5,"4,5 mil",Beginner,Coursera Project Network,Java
296,Introduction to TestNG and Integration with Selenium,4.6,"1,7 mil",Beginner,Coursera Project Network,Java
297,Spring Boot Inversion of Control and Dependency Injection,4.6,None,Intermediate,Coursera Project Network,Java
298,"Logging, Monitoring and Observability in Google Cloud",4.7,"9,2 mil",Beginner,Google Cloud,Java
299,Build Your First React Website (Part II),4.8,"3,6 mil",Intermediate,Coursera Project Network,Java
300,Операционные системы и вы: как стать опытным пользователем,5,None,Beginner,Google,Java
301,How Google does Machine Learning en Español,4.6,"6,2 mil",Intermediate,Google Cloud,Java
302,Build a Website using React,4.1,None,Intermediate,Coursera Project Network,Java
303,Virtual Agent Development in Dialogflow ES for Software Devs,4.4,None,Intermediate,Google Cloud,Java
304,Create Your First NoSQL Database with MongoDB and Compass,4.6,"2,8 mil",Intermediate,Coursera Project Network,Java
305,Advanced Django: Advanced Django Rest Framework,None,None,Advanced,Codio,Java
306,Neural Network Visualizer Web App with Python,4.5,"6,5 mil",Intermediate,Coursera Project Network,Java
307,Automating Team Communication with Google Sheets and Apps Script,4.5,"4,3 mil",Intermediate,Coursera Project Network,Java
308,Practical Vim Editor Commands On Linux,4.5,4 mil,Beginner,Coursera Project Network,Java
309,Build a Full Stack Twitter clone with Next.js,3.1,None,Intermediate,Coursera Project Network,Java
310,Fundamentos de React Hooks,4.7,None,Intermediate,Coursera Project Network,Java
311,Essential Cloud Infrastructure: Foundation dalam bahasa Indonesia,4.9,"1,9 mil",Intermediate,Google Cloud,Java
312,"Desarrollo del lado servidor: NodeJS, Express y MongoDB",4.1,11 mil,Beginner,Universidad Austral,Java
313,DevOps and Build Automation with Python,4,None,Beginner,LearnQuest,Java
314,Creando tu primera app con ReactJS,None,None,Beginner,Coursera Project Network,Java
315,Responsive Website Tutorial and Examples,4.2,35 mil,Mixed,University of London,Java
316,Healthcare Entrepreneurship: Taking Ideas to Market,4.8,"3,3 mil",Intermediate,Imperial College London,Java
