,course,rating,students,level,university,skills
1125,Microsoft Azure AI Fundamentals AI-900 Exam Prep,4.7,7.4,Beginner,Microsoft,Machine Learning
1126,IBM AI Enterprise Workflow,4.3,9.7,Advanced,IBM,Machine Learning
1127,Clinical Data Science,4.5,19.0,Intermediate,University of Colorado System,Machine Learning
1128,Uncommon Sense Teaching,4.8,12.0,Beginner,Deep Teaching Solutions,Machine Learning
1129,Strategic Sales Management,4.5,21.0,Intermediate,Fundação Instituto de Administração,Machine Learning
1130,Mind Control: Managing Your Mental Health During COVID-19,4.8,180.0,Beginner,University of Toronto,Machine Learning
1131,Introduction to Self-Driving Cars,4.7,120.0,Advanced,University of Toronto,Machine Learning
1132,Introduction to Portfolio Construction and Analysis with Python,4.8,44.0,Mixed,EDHEC Business School,Machine Learning
1133,Digitalisation in Aeronautics and Space,4.6,8.0,Intermediate,Technische Universität München (TUM),Machine Learning
1134,Microsoft Azure Developer Associate AZ-204 Test Prep,4.5,2.4,Intermediate,Microsoft,Machine Learning
1135,Build Better Generative Adversarial Networks (GANs),4.7,16.0,Intermediate,DeepLearning.AI,Machine Learning
1136,Computational Social Science,4.6,35.0,Beginner,"University of California, Davis",Machine Learning
1137,Foundations of Teaching for Learning: Being a Teacher,4.6,44.0,Mixed,Commonwealth Education Trust,Machine Learning
1138,Introduction to Microsoft Azure Cloud Services,4.6,32.0,Beginner,Microsoft,Machine Learning
1139,Biology Meets Programming: Bioinformatics for Beginners,4.2,130.0,Beginner,University of California San Diego,Machine Learning
1140,"Custom Models, Layers, and Loss Functions with TensorFlow",4.9,17.0,Intermediate,DeepLearning.AI,Machine Learning
1141,Cloud Computing Basics (Cloud 101),4.5,130.0,Beginner,LearnQuest,Machine Learning
1142,Cloud Computing,4.4,170.0,Intermediate,University of Illinois at Urbana-Champaign,Machine Learning
1143,Natural Language Processing with Sequence Models,4.5,37.0,Intermediate,DeepLearning.AI,Machine Learning
1144,Natural Language Processing with Attention Models,4.3,37.0,Intermediate,DeepLearning.AI,Machine Learning
1145,Introduction to Augmented Reality and ARCore,4.5,67.0,Beginner,Google AR & VR,Machine Learning
1146,Image Processing for Engineering and Science,4.6,,Beginner,MathWorks,Machine Learning
1147,"Sleep: Neurobiology, Medicine, and Society",4.8,46.0,Beginner,University of Michigan,Machine Learning
1148,Architecting Hybrid Cloud Infrastructure with Anthos,4.7,9.2,Intermediate,Google Cloud,Machine Learning
1149,Ordered Data Structures,4.8,17.0,Mixed,University of Illinois at Urbana-Champaign,Machine Learning
1150,Foundations of Data Science: K-Means Clustering in Python,4.7,27.0,Beginner,University of London,Machine Learning
1151,Interviewing and Resume Writing in English,4.6,110.0,Intermediate,"University of Maryland, College Park",Machine Learning
1152,Summary Statistics in Public Health,4.8,34.0,Beginner,Johns Hopkins University,Machine Learning
