,course,rating,students,level,university,skills
166,Machine Learning Algorithms: Supervised Learning Tip to Tail,4.7,14 mil,Mixed,Alberta Machine Intelligence Institute,Machine Learning
167,Data for Machine Learning,4.4,"6,5 mil",Intermediate,Alberta Machine Intelligence Institute,Machine Learning
168,Project Planning and Machine Learning,4.7,6 mil,Intermediate,University of Colorado Boulder,Machine Learning
169,Deploying Machine Learning Models,3.6,"8,8 mil",Mixed,University of California San Diego,Machine Learning
170,Follow a Machine Learning Workflow,None,None,Intermediate,CertNexus,Machine Learning
171,Optimizing Machine Learning Performance,4.6,"5,5 mil",Mixed,Alberta Machine Intelligence Institute,Machine Learning
172,"Machine Learning Under the Hood: The Technical Tips, Tricks, and Pitfalls",4.8,"3,5 mil",Beginner,SAS,Machine Learning
173,Titanic Survival Prediction Using Machine Learning,None,None,Beginner,Coursera Project Network,Machine Learning
174,How Google does Machine Learning 日本語版,4.5,"2,5 mil",Intermediate,Google Cloud,Machine Learning
175,Machine Learning Basics,None,None,Mixed,Sungkyunkwan University,Machine Learning
176,Machine Learning e Data Mining in R,None,None,Intermediate,Università di Napoli Federico II,Machine Learning
177,"Smart Analytics, Machine Learning, and AI on GCP en Español",4.7,None,Intermediate,Google Cloud,Machine Learning
178,Advanced Machine Learning: Machine Learning Infrastructure,None,None,Advanced,Google Cloud,Machine Learning
179,Automatic Machine Learning with H2O AutoML and Python,4.8,"6,3 mil",Intermediate,Coursera Project Network,Machine Learning
180,Machine Learning with H2O Flow,4.7,"3,9 mil",Intermediate,Coursera Project Network,Machine Learning
181,Curso Completo de Machine Learning en Microsoft Power BI,4.3,None,Advanced,Coursera Project Network,Machine Learning
182,Medical Insurance Premium Prediction with Machine Learning,None,None,Beginner,Coursera Project Network,Machine Learning
183,"Machine Learning: Predict Numbers from Handwritten Digits using a Neural Network, Keras, and R",4.4,"4,7 mil",Intermediate,Coursera Project Network,Machine Learning
184,How Google does Machine Learning em Português Brasileiro,4.8,"1,6 mil",Intermediate,Google Cloud,Machine Learning
185,Automated Machine Learning en Microsoft Power BI,4.3,None,Intermediate,Coursera Project Network,Machine Learning
186,"Smart Analytics, Machine Learning, and AI on GCP em Português Brasileiro",4.9,None,Intermediate,Google Cloud,Machine Learning
187,Deploy a predictive machine learning model using IBM Cloud,None,None,Intermediate,Coursera Project Network,Machine Learning
188,Build a Machine Learning Image Classifier with Python,None,None,Intermediate,Coursera Project Network,Machine Learning
189,Machine Learning Algorithms,None,None,Mixed,Sungkyunkwan University,Machine Learning
190,Launching into Machine Learning 日本語版,4.4,None,Intermediate,Google Cloud,Machine Learning
191,Serverless Machine Learning with Tensorflow on Google Cloud auf Deutsch,None,None,Intermediate,Google Cloud,Machine Learning
192,Applying Machine Learning to your Data with GCP 日本語版,None,None,Intermediate,Google Cloud,Machine Learning
193,Machine Learning con Python. Nivel intermedio,None,None,Beginner,Coursera Project Network,Machine Learning
194,Interpretable Machine Learning Applications: Part 4,None,None,Intermediate,Coursera Project Network,Machine Learning
195,Preparing Data for Machine Learning Models,None,None,Intermediate,Coursera Project Network,Machine Learning
196,"Machine Learning Interpretable: SHAP, PDP y permutacion",None,None,Intermediate,Coursera Project Network,Machine Learning
197,"Machine Learning para series temporales con ARIMA, SARIMA...",None,None,Intermediate,Coursera Project Network,Machine Learning
198,Machine Learning y Regresión con PySpark. Guía paso a paso,None,None,Beginner,Coursera Project Network,Machine Learning
199,Machine Learning con Azure Machine Learning Studio,None,None,Beginner,Coursera Project Network,Machine Learning
200,Evaluate Machine Learning Models with Yellowbrick,4.8,"2,9 mil",Intermediate,Coursera Project Network,Machine Learning
201,Generando modelos con Auto Machine Learning,4.4,None,Intermediate,Coursera Project Network,Machine Learning
202,Serverless Machine Learning with Tensorflow on Google Cloud em Português Brasileiro,4.4,None,Intermediate,Google Cloud,Machine Learning
203,Art and Science of Machine Learning em Português Brasileiro,4.6,None,Intermediate,Google Cloud,Machine Learning
204,Interpretable machine learning applications: Part 3,None,None,Intermediate,Coursera Project Network,Machine Learning
205,Machine Learning con Python. Nivel Avanzado,None,None,Intermediate,Coursera Project Network,Machine Learning
206,Machine Learning Introduction for Everyone,None,None,Beginner,IBM,Machine Learning
207,Interpretable machine learning applications: Part 5,None,None,Beginner,Coursera Project Network,Machine Learning
208,Machine Learning Interpretable: interpretML y LIME,None,None,Intermediate,Coursera Project Network,Machine Learning
209,Interpreting Machine Learning datasets,None,None,Beginner,Coursera Project Network,Machine Learning
210,Machine Learning: Predict Poisonous Mushrooms using a Random Forest Model and the FFTrees Package in R,4.6,"4,5 mil",Intermediate,Coursera Project Network,Machine Learning
211,Art and Science of Machine Learning en Español,4.6,"2,2 mil",Intermediate,Google Cloud,Machine Learning
212,Launching into Machine Learning em Português Brasileiro,4.5,None,Intermediate,Google Cloud,Machine Learning
213,"Smart Analytics, Machine Learning, and AI on GCP en Français",None,None,Intermediate,Google Cloud,Machine Learning
214,Art and Science of Machine Learning 日本語版,4.3,None,Intermediate,Google Cloud,Machine Learning
215,"Crea un app de Machine Learning con Spark, Synapse Analytics",None,None,Advanced,Coursera Project Network,Machine Learning
216,Machine Learning con Pyspark aplicado al campo sanitario,None,None,Advanced,Coursera Project Network,Machine Learning
217,Introdução a Machine Learning em uma Competição do Kaggle,None,None,Beginner,Coursera Project Network,Machine Learning
218,Desplegando modelos de Machine Learning con Pycaret en Azure,None,None,Beginner,Coursera Project Network,Machine Learning
219,Aplicando privacidad en modelos de Machine Learning,None,None,Beginner,Coursera Project Network,Machine Learning
220,Unsupervised Algorithms in Machine Learning,None,None,Intermediate,University of Colorado Boulder,Machine Learning
221,Bike Rental Sharing Demand Prediction with Machine Learning,None,None,Beginner,Coursera Project Network,Machine Learning
222,Machine Learning: Algorithms in the Real World,4.6,30 mil,Intermediate,Alberta Machine Intelligence Institute,Machine Learning
223,Machine Learning with TensorFlow Google Cloud 日本語版,4.4,"2,8 mil",Intermediate,Google Cloud,Machine Learning
