,course,rating,students,level,university,skills
2645,Digital Transformation Using AI/ML with Google Cloud,4.7,150.0,Beginner,Google Cloud,Java
2646,Miracles of Human Language: An Introduction to Linguistics,4.7,160.0,Beginner,Universiteit Leiden,Java
2647,Learn to Speak Korean 1,4.9,350.0,Beginner,Yonsei University,Java
2648,Fundamentals of Music Theory,4.5,280.0,Beginner,The University of Edinburgh,Java
2649,Biohacking Your Brain's Health,4.7,88.0,Beginner,Emory University,Java
2650,The Korean Alphabet: An Introduction to Hangeul,4.6,27.0,Beginner,Sungkyunkwan University,Java
2651,Learning Chinese : Start From Scratch (零到一學中文),4.5,41.0,Beginner,National Taiwan University,Java
2652,Monetary Policy in the Asia Pacific,4.8,8.4,Intermediate,The Hong Kong University of Science and Technology,Java
2653,The Korean Economic Development,4.8,14.0,Mixed,Yonsei University,Java
2654,Asian Environmental Humanities: Landscapes in Transition,4.7,9.6,Beginner,University of Zurich,Java
2655,Lesson | Express Yourself: Pronunciation,4.5,49.0,Mixed,Georgia Institute of Technology,Java
2656,Learn Mandarin Chinese: Capstone Project,4.8,12.0,Beginner,Shanghai Jiao Tong University,Java
2657,"L'investissement à impact, la finance qui change le monde",4.6,8.2,Beginner,ESSEC Business School,Java
2658,Drug Development,4.7,63.0,Beginner,University of California San Diego,Java
2659,La Philanthropie : Comprendre et Agir,4.8,6.2,Mixed,ESSEC Business School,Java
2660,Traditional herbal medicine in supportive cancer care: From alternative to integrative,4.7,6.8,Beginner,Technion - Israel Institute of Technology,Java
2661,Introduction to Particle Accelerators (NPAP MOOC),4.7,4.1,Intermediate,Lund University,Java
2662,Donner un feedback utile,4.7,1.7,Mixed,University of Colorado Boulder,Java
2663,Blue Prism Foundation Training,4.5,,Beginner,Blue Prism,Java
2664,Market Risk Management: Frameworks & Strategies,4.8,,Beginner,New York Institute of Finance,Java
2665,"Nanotechnology and Nanosensors, Part1",4.6,55.0,Mixed,Technion - Israel Institute of Technology,Java
2666,Exercer son esprit critique à l’ère informationnelle,4.7,1.8,Beginner,University of Geneva,Java
2667,"Nanotechnology and Nanosensors, Part 2",4.8,17.0,Mixed,Technion - Israel Institute of Technology,Java
2668,Homeland Security & Cybersecurity Connection - It's Not About the Terrorists,4.7,8.3,Beginner,University of Colorado System,Java
