,course,rating,students,level,university,skills
1177,Advanced Statistics for Data Science,4.4,95 mil,Advanced,Johns Hopkins University,Machine Learning
1431,Algorithms for Battery Management Systems,4.7,39 mil,Intermediate,University of Colorado Boulder,Machine Learning
2968,Algorithms for Battery Management Systems,4.7,39 mil,Intermediate,University of Colorado Boulder,Java
773,Algoritmos de negociación basados en machine learning,None,None,Intermediate,Universidad de los Andes,Python
1238,Algoritmos de negociación basados en machine learning,None,None,Intermediate,Universidad de los Andes,Machine Learning
861,An Introduction to Practical Deep Learning,4.2,22 mil,Intermediate,Intel,Python
1960,An Introduction to Practical Deep Learning,4.2,22 mil,Intermediate,Intel,Machine Learning
695,Analista de Datos de IBM,4.4,11 mil,Beginner,IBM,Python
1462,Analista de Datos de IBM,4.4,11 mil,Beginner,IBM,Machine Learning
444,Analyze Box Office Data with Plotly and Python,4.5,"8,5 mil",Beginner,Coursera Project Network,Python
1985,Analyze Box Office Data with Plotly and Python,4.5,"8,5 mil",Beginner,Coursera Project Network,Machine Learning
540,Analyze Box Office Data with Seaborn and Python,4.5,"4,1 mil",Intermediate,Coursera Project Network,Python
1986,Analyze Box Office Data with Seaborn and Python,4.5,"4,1 mil",Intermediate,Coursera Project Network,Machine Learning
702,Analyze Datasets and Train ML Models using AutoML,4.5,14 mil,Advanced,DeepLearning.AI,Python
1480,Analyze Datasets and Train ML Models using AutoML,4.5,14 mil,Advanced,DeepLearning.AI,Machine Learning
771,Analyzing Video with OpenCV and NumPy,4.5,"2,6 mil",Intermediate,Coursera Project Network,Python
1715,Analyzing Video with OpenCV and NumPy,4.5,"2,6 mil",Intermediate,Coursera Project Network,Machine Learning
715,Analítica de Datos en Finanzas,4.9,None,Intermediate,Universidad de los Andes,Python
3035,Analítica de Datos en Finanzas,4.9,None,Intermediate,Universidad de los Andes,Java
414,Análisis de datos con Python,4.6,"1,6 mil",Beginner,IBM,Python
1904,Análisis de datos con Python,4.6,"1,6 mil",Beginner,IBM,Machine Learning
500,Análisis exploratorio de datos con Python y Pandas,None,None,Beginner,Coursera Project Network,Python
2087,Análisis exploratorio de datos con Python y Pandas,None,None,Beginner,Coursera Project Network,Machine Learning
947,"App Deployment, Debugging, and Performance",4.6,20 mil,Intermediate,Google Cloud,Python
2503,"App Deployment, Debugging, and Performance",4.6,20 mil,Intermediate,Google Cloud,Java
1083,"App Deployment, Debugging, and Performance en Français",None,None,Intermediate,Google Cloud,Python
2581,"App Deployment, Debugging, and Performance en Français",None,None,Intermediate,Google Cloud,Java
1058,"Application Deployment, Debug, Performance 日本語版",4.4,None,Intermediate,Google Cloud,Python
2561,"Application Deployment, Debug, Performance 日本語版",4.4,None,Intermediate,Google Cloud,Java
1071,Application using Amazon Rekognition,None,None,Beginner,Coursera Project Network,Python
2123,Application using Amazon Rekognition,None,None,Beginner,Coursera Project Network,Machine Learning
749,Applied AI with DeepLearning,4.4,48 mil,Advanced,IBM,Python
1628,Applied AI with DeepLearning,4.4,48 mil,Advanced,IBM,Machine Learning
593,Applied Data Science,4.6,500 mil,Beginner,IBM,Python
1395,Applied Data Science,4.6,500 mil,Beginner,IBM,Machine Learning
910,Applied Data Science Capstone,4.7,93 mil,Intermediate,IBM,Python
1535,Applied Data Science Capstone,4.7,93 mil,Intermediate,IBM,Machine Learning
275,Applied Data Science with Python,4.5,800 mil,Intermediate,University of Michigan,Python
1146,Applied Data Science with Python,4.5,800 mil,Intermediate,University of Michigan,Machine Learning
339,Applied Machine Learning in Python,4.6,250 mil,Intermediate,University of Michigan,Python
1161,Applied Machine Learning in Python,4.6,250 mil,Intermediate,University of Michigan,Machine Learning
341,"Applied Plotting, Charting & Data Representation in Python",4.5,160 mil,Intermediate,University of Michigan,Python
2048,"Applied Plotting, Charting & Data Representation in Python",4.5,160 mil,Intermediate,University of Michigan,Machine Learning
3133,"Applied Plotting, Charting & Data Representation in Python",4.5,160 mil,Intermediate,University of Michigan,Java
469,Applied Social Network Analysis in Python,4.7,85 mil,Intermediate,University of Michigan,Python
1380,Applied Social Network Analysis in Python,4.7,85 mil,Intermediate,University of Michigan,Machine Learning
466,Applied Text Mining in Python,4.2,120 mil,Intermediate,University of Michigan,Python
1718,Applied Text Mining in Python,4.2,120 mil,Intermediate,University of Michigan,Machine Learning
1267,Applying Machine Learning to your Data with GCP,4.7,16 mil,Intermediate,Google Cloud,Machine Learning
2786,Applying Machine Learning to your Data with GCP,4.7,16 mil,Intermediate,Google Cloud,Java
1327,Applying Machine Learning to your Data with GCP 日本語版,None,None,Intermediate,Google Cloud,Machine Learning
2916,Applying Machine Learning to your Data with GCP 日本語版,None,None,Intermediate,Google Cloud,Java
1571,Apprendre comment apprendre (ACA) : Des outils mentaux puissants qui vous aideront à maîtriser des sujets difficiles,4.8,26 mil,Beginner,Deep Teaching Solutions,Machine Learning
3078,Apprendre comment apprendre (ACA) : Des outils mentaux puissants qui vous aideront à maîtriser des sujets difficiles,4.8,26 mil,Beginner,Deep Teaching Solutions,Java
447,Aprendiendo Python con bases de datos,4.7,None,Beginner,Coursera Project Network,Python
2721,Aprendiendo Python con bases de datos,4.7,None,Beginner,Coursera Project Network,Java
452,Aprendiendo Python con circuitos digitales,4.8,None,Beginner,Coursera Project Network,Python
2724,Aprendiendo Python con circuitos digitales,4.8,None,Beginner,Coursera Project Network,Java
404,Aprendiendo Python con estadística descriptiva,4.7,None,Beginner,Coursera Project Network,Python
2710,Aprendiendo Python con estadística descriptiva,4.7,None,Beginner,Coursera Project Network,Java
578,"Aprendiendo Python con textos, números y ecuaciones",4.8,None,Beginner,Coursera Project Network,Python
2728,"Aprendiendo Python con textos, números y ecuaciones",4.8,None,Beginner,Coursera Project Network,Java
450,Aprendiendo Python con álgebra lineal,4.6,None,Beginner,Coursera Project Network,Python
2723,Aprendiendo Python con álgebra lineal,4.6,None,Beginner,Coursera Project Network,Java
483,Aprendizado de máquina com Python,None,None,Intermediate,IBM,Python
1383,Aprendizado de máquina com Python,None,None,Intermediate,IBM,Machine Learning
1404,Architecting with Google Kubernetes Engine,4.7,580 mil,Beginner,Google Cloud,Machine Learning
2763,Architecting with Google Kubernetes Engine,4.7,580 mil,Beginner,Google Cloud,Java
1052,Arquitecturas de Big Data,None,None,Beginner,Universidad de los Andes,Python
